ODI;SIGLAS_AREA;ANIO;NRO_EXPEDIENTE;TIPO_EXPEDIENTE;FECHA_PRESENTACION;SECTOR;SUB_SECTOR;DENUNCIADOS;RUC_DENUNCIADOS; 
SEDE CENTRAL;PS3;2015;874;DENUNCIA;1/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;SODIMAC PERÚ S.A.;20389230724; 
SEDE CENTRAL;PS3;2015;875;DENUNCIA;1/06/2015;SERVICIOS VARIOS;OTROS SERVICIOS;;; 
SEDE CENTRAL;PS3;2015;876;DENUNCIA;1/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;LINIO PERÚ S.A.C.;20547836473; 
SEDE CENTRAL;PS3;2015;877;DENUNCIA;1/06/2015;VENTA, MANTENIMIENTO Y REPARACION DE VEHICULOS;VENTA DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;CORPORACION VICTORIA M & R MOTORS S.A.C.;20536400363; 
SEDE CENTRAL;PS3;2015;878;DENUNCIA;2/06/2015;FABRICACION DE MUEBLES ;FABRICACION MUEBLES;;; 
SEDE CENTRAL;PS3;2015;879;DENUNCIA;2/06/2015;COMERCIO MAYORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;ROSEN PERU S.A.;20258886420; 
SEDE CENTRAL;PS3;2015;88;DENUNCIA;20/01/2015;COMERCIO MINORISTA DE LINEA BLANCA, MARRON Y OTRAS;VENTA DE ARTICULOS DE USO DOMESTICO;RENA WARE DEL PERU S.A.;20100131863; 
SEDE CENTRAL;PS3;2015;880;DENUNCIA;2/06/2015;OTROS TIPOS DE EDUCACION;SERVICIOS DE ENSEÑANZA;GREEN BUSINESS EDITORES S.A.C.;20392758721; 
SEDE CENTRAL;PS3;2015;881;DENUNCIA;2/06/2015;OTROS TIPOS DE EDUCACION;SERVICIOS DE ENSEÑANZA;MUNDO DE INGLES S.A.C.;20492352081; 
SEDE CENTRAL;PS3;2015;882;DENUNCIA;3/06/2015;SERVICIOS PROFESIONALES, TECNICOS Y OTROS;OTROS SERVICIOS PARA EMPRESAS;HIBU PERU S.A.C.;20501426041; 
SEDE CENTRAL;PS3;2015;883;DENUNCIA;2/06/2015;SERVICIOS DE SALUD HUMANA Y VETERINARIA;SERVICIOS DE CONSULTORIO Y EMERGENCIA;MEDLAB CANTELLA COLICHON S.A.C.;20304706211; 
SEDE CENTRAL;PS3;2015;884;DENUNCIA;2/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;885;DENUNCIA;3/06/2015;COMERCIO MINORISTA DE COMBUSTIBLE;VENTA DE COMBUSTIBLE;REPSOL GAS DEL PERÚ S.A.;20100176450; 
